Day,Ref,Title,Verse_Text,Verse_Ref,Image_URL,Youtube_Link
1,이사야 1:1-20,이스라엘의 죄와 회개 촉구 (1),너희 죄가 주홍 같을지라도 눈과 같이 희어질 것이요 진홍 같이 붉을지라도 양털 같이 되리라,이사야 1:18,,
2,이사야 1:21-31,타락한 예루살렘 심판 (2),내가 네게서 찌꺼기를 제하여 버리고 너를 처음과 같이 회복시키리라,이사야 1:25-26,,
3,이사야 2:1-22,여호와의 날과 시온의 영광,칼을 쳐서 보습을 만들고 창을 쳐서 낫을 만들 것이며 나라와 나라가 칼을 들고 서로 치지 아니하며 다시는 전쟁을 연습하지 아니하리라,이사야 2:4,,
4,이사야 3:1-26,유다의 심판과 지도자들,내 백성을 압제하는 자는 아이요 여자들이 다스리도다,이사야 3:12,,
5,이사야 4:1-6,시온의 남은 자와 회복,기록된 바 시온에 남아 있는 자와 예루살렘에 머물러 있는 자는 거룩하다 칭함을 얻으리니,이사야 4:3,,
6,이사야 5:1-17,포도원의 노래 (1),좋은 포도를 맺기를 기대하셨더니 들포도를 맺었도다,이사야 5:4,,
7,이사야 5:18-30,여섯 가지 화 (2),화 있을진저 악을 끄는 자들이여 그들이 헛된 줄로 죄악을 끌며,이사야 5:18,,
8,이사야 6:1-13,이사야의 소명,거룩하다 거룩하다 거룩하다 만군의 여호와여 그의 영광이 온 땅에 충만하도다,이사야 6:3,,
9,이사야 7:1-14,임마누엘의 예언 (1),보라 처녀가 잉태하여 아들을 낳을 것이요 그의 이름을 임마누엘이라 하리라,이사야 7:14,마 1:23,
10,이사야 7:15-25,앗수르의 침략 경고 (2),그 때에 주께서 갈 저편에서부터 한 삭도 곧 앗수르 왕을 불러오시리니,이사야 7:20,,
11,이사야 8:1-10,마헬살랄하스바스의 징조,이 아이가 아버지 어머니라 부르기를 알기 전에 다메섹의 재물과 사마리아의 노략물이 앗수르 왕 앞에 옮겨지리라,이사야 8:4,,
12,이사야 8:11-22,하나님을 두려워하라,율법과 증거의 말씀을 따르라 그들의 말이 이 말씀에 맞지 않으면 그들에게는 새벽 빛이 없으리라,이사야 8:20,,
13,이사야 9:1-7,메시아 왕국 예언,이는 한 아기가 우리에게 났고 한 아들을 우리에게 주신 바 되었는데 그의 이름은 기묘자라 모사라 전능하신 하나님이라,이사야 9:6,마 4:15-16,
14,이사야 9:8-21,이스라엘에 대한 심판,그 백성이 자기들을 치시는 이에게로 돌아오지 아니하며 만군의 여호와를 찾지 아니하므로,이사야 9:13,,
15,이사야 10:1-19,앗수르는 하나님의 도구,내가 앗수르를 내 진노의 막대기로 삼았으니 그 손에 든 것은 내 분노의 몽둥이라,이사야 10:5,,
16,이사야 10:20-34,남은 자의 회복,그 날에 이스라엘의 남은 자와 야곱 족속의 피난한 자들이 다시는 자기를 친 자를 의지하지 않고 이스라엘의 거룩하신 이 여호와를 진실하게 의지하리니,이사야 10:20,,
17,이사야 11:1-9,이새의 줄기에서 나실 왕 (1),이리가 어린 양과 함께 거하며 표범이 어린 염소와 함께 눕고 송아지와 어린 사자와 살진 짐승이 함께 있어 어린 아이에게 끌리며,이사야 11:6,,
18,이사야 11:10-16,흩어진 백성의 귀환 (2),그 날에 주께서 다시 그의 손을 펴사 그의 남은 백성을 앗수르와 애굽과 바드로스와 구스에서 회복시키시리라,이사야 11:11,,
19,이사야 12:1-6,구원의 노래,보라 하나님은 나의 구원이시라 내가 신뢰하고 두려움이 없으리니 주 여호와는 나의 힘이시며 나의 노래시며 나의 구원이심이라,이사야 12:2,,
20,이사야 13:1-22,바벨론 심판 예언,만군의 여호와께서 군대를 소집하시되 먼 나라와 하늘 끝에서부터 오게 하시나니 이는 여호와께서 온 땅을 멸하시는 진노의 도구들이니라,이사야 13:5,,
21,이사야 14:1-23,바벨론 왕의 몰락,네가 어찌 그리 하늘에서 떨어졌느냐 아침의 아들 계명성이여 너는 본래 열국을 엎은 자로다 네가 어찌 그리 땅에 찍혔는고,이사야 14:12,,
22,이사야 14:24-32,앗수르와 블레셋 심판,내가 결심한 대로 될 것이며 내가 계획한 대로 이룰 것이라,이사야 14:24,,
23,이사야 15:1-9,모압 심판 예언 (1),하룻밤에 모압의 알이 망하며 황폐해졌고 하룻밤에 모압의 길이 망하며 황폐해졌도다,이사야 15:1,,
24,이사야 16:1-14,모압의 멸망 확정 (2),모압이 그 산당에 올라가는 것이 곤비할 것이라 그의 성소에 들어가 기도할지라도 소용이 없으리로다,이사야 16:12,,
